_id,price,title
63d601d670100034e76fa3c8,$1.99 per litre,"
					Inner Goodness Soy Milk 1L 
				"
63d601d670100034e76fa3c9,$2.69 per litre,"
					Inner Goodness Almond Milk 1L 
				"
63d601d670100034e76fa3ca,$2.39 per litre,"
					Farmdale Organic Full Cream Milk 1L 
				"
63d601d670100034e76fa3cb,$2.39 per litre,"
					Farmdale Organic Light Milk 1L  
				"
63d601d670100034e76fa3cc,$1.59 per litre,"
					Farmdale Full Cream Milk UHT 1L 
				"
63d601d670100034e76fa3cd,$1.59 per litre,"
					Farmdale Light Milk UHT 1L 
				"
63d601d670100034e76fa3ce,$1.59 per litre,"
					Farmdale Skim Milk UHT 1L 
				"
63d601d670100034e76fa3cf,$1.55 per litre,"
					Farmdale Full Cream Milk UHT 2L 
				"
63d601d670100034e76fa3d0,$1.55 per litre,"
					Farmdale Skim Milk UHT 2L 
				"
63d601d670100034e76fa3d1,$1.79 per litre,"
					Farmdale Lactose Free UHT Milk 1L 
				"
63d601d670100034e76fa3d2,$1.79 per litre,"
					Farmdale Lactose Free Low Fat UHT Milk 1L 
				"
63d601d670100034e76fa3d3,$2.69 per litre,"
					Farmdale Lactose Free Full Cream Milk 1L 
				"
63d601d670100034e76fa3d4,$2.00 per litre,"
					CHAMP Iced Coffee Flavoured Milk 2L 
				"
63d601d670100034e76fa3d5,$4.15 per Litre,"
					CHAMP Chocolate Flavoured Milk 600ml 
				"
63d601d670100034e76fa3d6,$4.15 per Litre,"
					CHAMP Iced Coffee Flavoured Milk 600ml 
				"
63d601d670100034e76fa3d7,80c per 100g,"
					Farmdale Full Cream Milk Powder 1kg 
				"
63d601d670100034e76fa3d8,$2.19 per litre,"
					Just Organic UHT Milk 1L 
				"
63d601d670100034e76fa3d9,$1.49 per litre,"
					UHT Soy Organic Milk 1L 
				"
63d601d670100034e76fa3da,$1.15 per litre,"
					UHT Milk Soy 1L  
				"
63d601d670100034e76fa3db,$1.15 per litre,"
					UHT Milk Soy Light 1L 
				"
63d601d670100034e76fa3dc,$1.89 per litre,"
					Milk UHT Almond Unsweetened 1L  
				"
63d601d670100034e76fa3dd,$1.89 per litre,"
					 Milk UHT Almond Original 1L  
				"
63d601d670100034e76fa3de,$2.29 per litre,"
					UHT Oat Milk 1L 
				"
63d601d670100034e76fa3df,68c per 100g,"
					Lodge Farms Large Free Range Eggs 12pk/600g 
				"
63d601d670100034e76fa3e0,64c per 100g,"
					Lodge Farms Extra Large Free Range Eggs 12pk/700g 
				"
63d601d670100034e76fa3e1,70c per 100g,"
					Sunnyvale Olive Spread Regular 500g 
				"
63d601d670100034e76fa3e2,70c per 100g,"
					Sunnyvale Olive Spread Light 500g 
				"
63d601d670100034e76fa3e3,54c per 100g,"
					Sunnyvale Original Spread 500g 
				"
63d601d670100034e76fa3e4,80c per 100g,"
					Sunnyvale Cholesterol Spread 500g 
				"
63d601d670100034e76fa3e5,33c per 100g,"
					Sunnyvale Table Spread 1kg 
				"
63d601d670100034e76fa3e6,96c per 100g,"
					Beautifully Butterfully Dairy Spread 500g 
				"
63d601d670100034e76fa3e7,$1.72 per 100g,"
					Just Organic Butter 250g 
				"
63d601d670100034e76fa3e8,$1.48 per 100g,"
					Beautifully Butterfully Salted Butter 250g 
				"
63d601d670100034e76fa3e9,$1.48 per 100g,"
					Beautifully Butterfully Unsalted Butter 250g 
				"
63d601d670100034e76fa3ea,$1.28 per 100g,"
					Beautifully Butterfully Salted Butter 500g 
				"
63d601d670100034e76fa3eb,$1.28 per 100g,"
					Beautifully Butterfully Unsalted Butter 500g 
				"
63d601d670100034e76fa3ec,50c per 100g,"
					Beautifully Butterfully Caterer’s Selection Buttery Spread 1kg 
				"
63d601d670100034e76fa3ed,$18.76 per kg,"
					Westacre Dairy Tasty Cheese Block 250g 
				"
63d601d670100034e76fa3ee,$17.96 per kg,"
					Westacre Dairy Shredded Tasty Cheese 250g 
				"
63d601d670100034e76fa3ef,$9.99 per kg,"
					 Westacre Dairy Shredded Tasty Cheese 700g  
				"
63d601d670100034e76fa3f0,$21.96 per kg,"
					Westacre Dairy Shredded Parmesan Cheese 250g 
				"
63d601d670100034e76fa3f1,$15.98 per kg,"
					Westacre Dairy Tasty Cheese Slices 500g  
				"
63d601d670100034e76fa3f2,$11.98 per kg,"
					Westacre Dairy Tasty Cheese Block 500g  
				"
63d601d670100034e76fa3f3,$8.79 per kg,"
					Westacre Dairy Tasty Cheese Block 1kg  
				"
63d601d670100034e76fa3f4,$11.98 per kg,"
					Westacre Dairy Vintage Cheese Block 500g  
				"
63d601d670100034e76fa3f5,$29.93 per kg,"
					Emporium Selection Ash Brie 150g 
				"
63d601d670100034e76fa3f6,$22.45 per kg,"
					Emporium Selection Double Cream Camembert 200g 
				"
63d601d670100034e76fa3f7,$22.45 per kg,"
					Emporium Selection Triple Cream Brie 200g 
				"
63d601d670100034e76fa3f8,$22.32 per kg,"
					Emporium Selection Camembert 125g 
				"
63d601d670100034e76fa3f9,$22.32 per kg,"
					Emporium Selection Brie 125g 
				"
63d601d670100034e76fa3fa,$22.17 per kg,"
					Emporium Selection Persian Fetta 180g 
				"
63d601d670100034e76fa3fb,$14.95 per kg,"
					Emporium Selection Danish Style Fetta Cheese 200g  
				"
63d601d670100034e76fa3fc,$14.95 per kg,"
					Emporium Selection Greek Style Fetta Cheese 200g 
				"
63d601d670100034e76fa3fd,$11.98 per kg,"
					Westacre Colby Cheese Block 500g 
				"
63d601d670100034e76fa3fe,$7.98 per kg,"
					Cowbelle Original Cheese Slices 500g 
				"
63d601d670100034e76fa3ff,$7.30 per kg,"
					Westacre Dairy Wrapped Cheese Slices 432g 
				"
63d601d670100034e76fa400,$17.96 per kg,"
					Westacre Dairy Vintage Cheese Slices 250g 
				"
63d601d670100034e76fa401,$17.96 per kg,"
					Westacre Dairy Tasty Cheese Slices 250g 
				"
63d601d670100034e76fa402,$8.98 per kg,"
					Manhattan Cottage Cheese 500g 
				"
63d601d670100034e76fa403,$7.97 per kg,"
					Emporium Selection Smooth Ricotta 375g 
				"
63d601d670100034e76fa404,$16.45 per kg,"
					Emporium Selection Apricot & Almond Cream Cheese 200g 
				"
63d601d670100034e76fa405,$42.71 per kg,"
					Snackers Market Cheese, Salami & Crackers 70g  
				"
63d601d670100034e76fa406,$49.75 per kg,"
					Snackers Market Cheese & Pretzels 40g  
				"
63d601d670100034e76fa407,$56.86 per kg,"
					Snackers Market Cheese & Mini Crackers 35g  
				"
63d601d670100034e76fa408,$22.56 per kg,"
					Snackers Market Cheese Strips 8pk/168g 
				"
63d601d670100034e76fa409,$49.83 per kg,"
					Snackers Market Cheese, Ham & Crackers 60g 
				"
63d601d670100034e76fa40a,$2.60 per 100g,"
					Snackers Market Dip & Crackers 65g   
				"
63d601d670100034e76fa40b,70c per 100ml,"
					FARMDALE Thickened Cream 600ml 
				"
63d601d670100034e76fa40c,86c per 100ml,"
					FARMDALE Light Thickened Cream 300ml 
				"
63d601d670100034e76fa40d,$1.30 per 100ml,"
					FARMDALE Double Cream 300ml 
				"
63d601d670100034e76fa40e,$1.06 per 100ml,"
					FARMDALE Sour Cream 300g 
				"
63d601d670100034e76fa40f,$1.06 per 100g,"
					FARMDALE Light Sour Cream 300g 
				"
63d601d670100034e76fa410,$1.88 per 100g,"
					Farmdale Whipped Cream 250g  
				"
63d601d670100034e76fa411,55c per 100g,"
					Lyttos Greek Style Natural Yogurt 2kg 
				"
63d601d670100034e76fa412,37c per 100g,"
					Brooklea Joi Mango Yogurt 1kg 
				"
63d601d670100034e76fa413,37c per 100g,"
					Brooklea Family Lite Yogurt 1kg 
				"
63d601d670100034e76fa414,50c per 100g,"
					Brooklea Organic Natural Yogurt 1kg 
				"
63d601d670100034e76fa415,50c per 100g,"
					Brooklea Organic Vanilla Bean Yogurt 1kg 
				"
63d601d670100034e76fa416,76c per 100g,"
					Premiere Fruit Swirl Blueberry Yogurt 720g 
				"
63d601d670100034e76fa417,67c per 100g,"
					Brooklea Greek Style Yoghurt No Added Sugar 750g 
				"
63d601d670100034e76fa418,76c per 100g,"
					Premiére Mango Yogurt 4x115g 
				"
63d601d670100034e76fa419,44c per 100g,"
					Brooklea Joi Deluxe Yogurt Classics 6 x 150g 
				"
63d601d670100034e76fa41a,99c per 100g,"
					Brooklea Yogurt Squishies 70g 
				"
63d601d670100034e76fa41b,$4.61 per 100g,"
					Brooklea Yogurt Assorted Varieties 100g 
				"
63d601d670100034e76fa41c,42c per 100g,"
					Chocolate Stampede Dairy Snack 12pk 
				"
63d601d670100034e76fa41d,$1.28 per 100g,"
					Chocolate Stampede Dairy Snack 140g 
				"
63d601d670100034e76fa41e,$2.13 per 100g,"
					Vanilla Flavoured Custard Pouch 70g 
				"
63d601d670100034e76fa41f,$2.13 per 100g,"
					Chocolate Flavoured Custard Pouch 70g 
				"
63d601d670100034e76fa420,83c per 100g,"
					Marvellicious Choc Mousse 12pk 
				"
63d601d670100034e76fa421,$1.60 per 100g,"
					Food Envy Chocolate Mousse 2 x 62g 
				"
63d601d670100034e76fa422,$1.60 per 100g,"
					Food Envy Chocolate Mousse with Salted Caramel 2 x 62g 
				"
63d601d670100034e76fa423,83c per 100g,"
					Food Envy Crème Caramel 2 x 150g 
				"
63d601d670100034e76fa424,30c per 100g,"
					Vanilla Flavoured Custard 1kg 
				"
63d601d670100034e76fa425,83c per 100g,"
					Food Envy Sweet Crepes 8pk/480g 
				"
63d601d670100034e76fa426,$1.60 per 100g,"
					Food Envy Mini Dutch Pancakes 250g 
				"
63d601d670100034e76fa427,73c per 100g,"
					Food Envy Rice Pudding Vanilla Bean 2 x 170g 
				"
63d601d670100034e76fa428,$1.00 per 100g,"
					Food Envy Italian Family Desserts 500g 
				"
63d601d670100034e76fa429,25c per 100ml,"
					Farmdale Custard 1L 
				"
63d6054b70100034e76fa42a,$1.,"
					Inner Goodness Soy Milk 1L 
				"
63d6054b70100034e76fa42b,$2.,"
					Inner Goodness Almond Milk 1L 
				"
63d6054b70100034e76fa42c,$2.,"
					Farmdale Organic Full Cream Milk 1L 
				"
63d6054b70100034e76fa42d,$2.,"
					Farmdale Organic Light Milk 1L  
				"
63d6054b70100034e76fa42e,$1.,"
					Farmdale Full Cream Milk UHT 1L 
				"
63d6054b70100034e76fa42f,$1.,"
					Farmdale Light Milk UHT 1L 
				"
63d6054b70100034e76fa430,$1.,"
					Farmdale Skim Milk UHT 1L 
				"
63d6054b70100034e76fa431,$3.,"
					Farmdale Full Cream Milk UHT 2L 
				"
63d6054b70100034e76fa432,$3.,"
					Farmdale Skim Milk UHT 2L 
				"
63d6054b70100034e76fa433,$1.,"
					Farmdale Lactose Free UHT Milk 1L 
				"
63d6054b70100034e76fa434,$1.,"
					Farmdale Lactose Free Low Fat UHT Milk 1L 
				"
63d6054b70100034e76fa435,$2.,"
					Farmdale Lactose Free Full Cream Milk 1L 
				"
63d6054b70100034e76fa436,$3.,"
					CHAMP Iced Coffee Flavoured Milk 2L 
				"
63d6054b70100034e76fa437,$2.,"
					CHAMP Chocolate Flavoured Milk 600ml 
				"
63d6054b70100034e76fa438,$2.,"
					CHAMP Iced Coffee Flavoured Milk 600ml 
				"
63d6054b70100034e76fa439,$7.,"
					Farmdale Full Cream Milk Powder 1kg 
				"
63d6054b70100034e76fa43a,$2.,"
					Just Organic UHT Milk 1L 
				"
63d6054b70100034e76fa43b,$1.,"
					UHT Soy Organic Milk 1L 
				"
63d6054b70100034e76fa43c,$1.,"
					UHT Milk Soy 1L  
				"
63d6054b70100034e76fa43d,$1.,"
					UHT Milk Soy Light 1L 
				"
63d6054b70100034e76fa43e,$1.,"
					Milk UHT Almond Unsweetened 1L  
				"
63d6054b70100034e76fa43f,$1.,"
					 Milk UHT Almond Original 1L  
				"
63d6054b70100034e76fa440,$2.,"
					UHT Oat Milk 1L 
				"
63d6054b70100034e76fa441,$4.,"
					Lodge Farms Large Free Range Eggs 12pk/600g 
				"
63d6054b70100034e76fa442,$4.,"
					Lodge Farms Extra Large Free Range Eggs 12pk/700g 
				"
63d6054b70100034e76fa443,$3.,"
					Sunnyvale Olive Spread Regular 500g 
				"
63d6054b70100034e76fa444,$3.,"
					Sunnyvale Olive Spread Light 500g 
				"
63d6054b70100034e76fa445,$2.,"
					Sunnyvale Original Spread 500g 
				"
63d6054b70100034e76fa446,$3.,"
					Sunnyvale Cholesterol Spread 500g 
				"
63d6054b70100034e76fa447,$3.,"
					Sunnyvale Table Spread 1kg 
				"
63d6054b70100034e76fa448,$4.,"
					Beautifully Butterfully Dairy Spread 500g 
				"
63d6054b70100034e76fa449,$4.,"
					Just Organic Butter 250g 
				"
63d6054b70100034e76fa44a,$3.,"
					Beautifully Butterfully Salted Butter 250g 
				"
63d6054b70100034e76fa44b,$3.,"
					Beautifully Butterfully Unsalted Butter 250g 
				"
63d6054b70100034e76fa44c,$6.,"
					Beautifully Butterfully Salted Butter 500g 
				"
63d6054b70100034e76fa44d,$6.,"
					Beautifully Butterfully Unsalted Butter 500g 
				"
63d6054b70100034e76fa44e,$4.,"
					Beautifully Butterfully Caterer’s Selection Buttery Spread 1kg 
				"
63d6054b70100034e76fa44f,$4.,"
					Westacre Dairy Tasty Cheese Block 250g 
				"
63d6054b70100034e76fa450,$4.,"
					Westacre Dairy Shredded Tasty Cheese 250g 
				"
63d6054b70100034e76fa451,$6.,"
					 Westacre Dairy Shredded Tasty Cheese 700g  
				"
63d6054b70100034e76fa452,$5.,"
					Westacre Dairy Shredded Parmesan Cheese 250g 
				"
63d6054b70100034e76fa453,$7.,"
					Westacre Dairy Tasty Cheese Slices 500g  
				"
63d6054b70100034e76fa454,$5.,"
					Westacre Dairy Tasty Cheese Block 500g  
				"
63d6054b70100034e76fa455,$8.,"
					Westacre Dairy Tasty Cheese Block 1kg  
				"
